COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
QQQM    218.41  Jun  135     85.90    1.8    3.4    1.8    3.4 132.61 220.75  0.39  0.01   100   100    47     1.8     3.4 132.61   138/   24
QQQM    218.41  Mar  135     84.70    0.9    3.2    0.9    3.2 133.81 219.55  0.39  0.01   100   100    48     0.9     3.2 133.81   183/   24
AAPL    248.13  Mar  185     65.60    1.3    4.7    1.3    4.7 182.63 250.45  0.26  0.01   100   100    46     1.3     4.7 182.63   117/    8
QQQM    218.41  Oct  135     87.00    2.6    3.1    2.6    3.1 131.51 221.85  0.40  0.02   100   100    46     2.6     3.1 131.51   110/   24
QQQM    218.41  Mar  145     74.90    0.9    3.5    0.9    3.5 143.61 219.75  0.34  0.01   100   100    47     0.9     3.5 143.61   156/   24
QQQM    218.41  Jun  140     81.10    1.8    3.6    1.8    3.6 137.41 220.95  0.37  0.01   100   100    47     1.8     3.6 137.41   130/   24
QQQM    218.41  Mar  140     79.80    0.9    3.3    0.9    3.3 138.71 219.65  0.36  0.01   100   100    48     0.9     3.3 138.71   169/   24
AAPL    248.13  Feb  185     64.65    0.7    3.9    0.7    3.9 183.58 249.50  0.26  0.01   100   100    47     0.7     3.9 183.58   131/    8
AAPL    248.13  Apr  180     71.40    1.8    5.2    1.8    5.2 176.83 251.25  0.29  0.01   100   100    46     1.8     5.1 176.83   121/    8
PYPL     91.02  Mar  57.5    34.25    1.0    3.8    1.0    3.8  56.87  91.60  0.38  0.01   100   100    49     1.0     3.8  56.87    94/    8
LOW     262.39  Jan  220     43.35    0.4    3.9    0.4    3.9 219.14 263.20  0.16  0.00   100   100    48     0.4     3.8 219.14    85/   21
QCOM    158.53  Jan  120     39.05    0.3    3.2    0.3    3.2 119.58 158.90  0.25  0.00   100   100    49     0.3     3.1 119.58    88/   51
PYPL     91.02  Jan  70      21.40    0.3    3.4    0.3    3.4  69.72  91.25  0.23  0.00   100    99    49     0.3     3.3  69.72    74/    8
PYPL     91.02  Jan  67.5    23.90    0.3    3.6    0.3    3.6  67.22  91.25  0.26  0.00   100   100    49     0.3     3.6  67.22    92/    8
HLT     252.76  Jan'26 95   161.00    3.4    3.1    3.4    3.1  91.86 255.85  0.64  0.01   100   100    48     3.4     3.1  91.86   196/    4
QQQM    218.41  Mar  165     55.40    1.1    4.2    1.1    4.2 163.11 220.25  0.25  0.01   100   100    47     1.1     4.2 163.11   104/   24
HLT     252.76  Jan'26 90   166.00    3.6    3.3    3.6    3.3  86.86 255.85  0.66  0.01   100   100    48     3.6     3.2  86.86   207/    4
QQQM    218.41  Mar  170     50.60    1.2    4.5    1.2    4.5 167.91 220.45  0.23  0.01   100   100    46     1.2     4.5 167.91    92/   24
HLT     252.76  Jan'26 100  156.50    3.7    3.4    3.7    3.4  96.36 256.35  0.62  0.01   100   100    48     3.7     3.4  96.36   185/    4
QQQM    218.41  Mar  172     48.60    1.2    4.5    1.2    4.5 169.91 220.45  0.22  0.01   100    99    46     1.2     4.4 169.91    86/   24
QQQM    218.41  Mar  171     49.60    1.2    4.5    1.2    4.5 168.91 220.45  0.23  0.01   100    99    46     1.2     4.4 168.91    90/   24
